wandb: Currently logged in as: julienyu to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.21.0
wandb: Run data is saved locally in /home/js/DAA_CPS/runs/S0_lr1e-4_clip0.1_ent0.0_lam0.90_ep8_mb64_fpb256/wandb/run-20250810_005734-2vpsqzh7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run S0_lr1e-4_clip0.1_ent0.0_lam0.90_ep8_mb64_fpb256
wandb: ⭐️ View project at https://wandb.ai/julienyu/DAA-CPS-PPO
wandb: 🚀 View run at https://wandb.ai/julienyu/DAA-CPS-PPO/runs/2vpsqzh7
/home/js/miniconda3/envs/mapf/lib/python3.11/site-packages/torchrl/collectors/collectors.py:870: UserWarning: total_frames (500000) is not exactly divisible by frames_per_batch (256). This means 224 additional frames will be collected.To silence this message, set the environment variable RL_WARNINGS to False.
  warnings.warn(

  0%|          | 0/500000 [00:00<?, ?it/s]
  0%|          | 256/500000 [00:00<26:49, 310.58it/s]
Iter 1, Reward: -0.0940:   0%|          | 256/500000 [00:00<26:49, 310.58it/s]
Iter 1, Reward: -0.0940:   0%|          | 512/500000 [00:01<24:42, 336.84it/s]
Iter 2, Reward: -0.1487:   0%|          | 512/500000 [00:01<24:42, 336.84it/s]
Iter 2, Reward: -0.1487:   0%|          | 768/500000 [00:02<23:52, 348.46it/s]
Iter 3, Reward: -0.1409:   0%|          | 768/500000 [00:02<23:52, 348.46it/s]
Iter 3, Reward: -0.1409:   0%|          | 1024/500000 [00:02<23:43, 350.60it/s]
Iter 4, Reward: -0.1037:   0%|          | 1024/500000 [00:02<23:43, 350.60it/s]
Iter 4, Reward: -0.1037:   0%|          | 1280/500000 [00:03<23:27, 354.38it/s]
Iter 30, Reward: -0.1877:   2%|▏         | 7680/500000 [00:21<23:52, 343.67it/s]
Iter 30, Reward: -0.1877:   2%|▏         | 7936/500000 [00:22<23:34, 347.92it/s]
Iter 31, Reward: -0.2014:   2%|▏         | 7936/500000 [00:22<23:34, 347.92it/s]
Iter 31, Reward: -0.2014:   2%|▏         | 8192/500000 [00:23<23:27, 349.43it/s]
Iter 32, Reward: -0.2112:   2%|▏         | 8192/500000 [00:23<23:27, 349.43it/s]
Iter 32, Reward: -0.2112:   2%|▏         | 8448/500000 [00:23<23:25, 349.66it/s]
Iter 33, Reward: -0.1975:   2%|▏         | 8448/500000 [00:23<23:25, 349.66it/s]
Iter 33, Reward: -0.1975:   2%|▏         | 8704/500000 [00:24<23:36, 346.85it/s]
Iter 34, Reward: -0.1955:   2%|▏         | 8704/500000 [00:24<23:36, 346.85it/s]
Iter 34, Reward: -0.1955:   2%|▏         | 8960/500000 [00:25<23:25, 349.41it/s]
Iter 35, Reward: -0.1936:   2%|▏         | 8960/500000 [00:25<23:25, 349.41it/s]
Iter 35, Reward: -0.1936:   2%|▏         | 9216/500000 [00:26<23:14, 351.86it/s]
Iter 36, Reward: -0.1955:   2%|▏         | 9216/500000 [00:26<23:14, 351.86it/s]
Iter 36, Reward: -0.1955:   2%|▏         | 9472/500000 [00:26<23:01, 355.00it/s]
Iter 37, Reward: -0.2073:   2%|▏         | 9472/500000 [00:26<23:01, 355.00it/s]
Iter 37, Reward: -0.2073:   2%|▏         | 9728/500000 [00:27<23:20, 350.05it/s]
Iter 38, Reward: -0.1858:   2%|▏         | 9728/500000 [00:27<23:20, 350.05it/s]
