wandb: Currently logged in as: julienyu to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.21.0
wandb: Run data is saved locally in /home/js/DAA_CPS/runs/S0_lr1e-4_clip0.1_ent0.0_lam0.90_ep8_mb128_fpb256/wandb/run-20250810_005734-3uy57pm6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run S0_lr1e-4_clip0.1_ent0.0_lam0.90_ep8_mb128_fpb256
wandb: ⭐️ View project at https://wandb.ai/julienyu/DAA-CPS-PPO
wandb: 🚀 View run at https://wandb.ai/julienyu/DAA-CPS-PPO/runs/3uy57pm6
/home/js/miniconda3/envs/mapf/lib/python3.11/site-packages/torchrl/collectors/collectors.py:870: UserWarning: total_frames (500000) is not exactly divisible by frames_per_batch (256). This means 224 additional frames will be collected.To silence this message, set the environment variable RL_WARNINGS to False.
  warnings.warn(

  0%|          | 0/500000 [00:00<?, ?it/s]
  0%|          | 256/500000 [00:00<22:59, 362.15it/s]
Iter 1, Reward: -0.1370:   0%|          | 256/500000 [00:00<22:59, 362.15it/s]
Iter 1, Reward: -0.1370:   0%|          | 512/500000 [00:01<19:31, 426.46it/s]
Iter 2, Reward: -0.1037:   0%|          | 512/500000 [00:01<19:31, 426.46it/s]
Iter 2, Reward: -0.1037:   0%|          | 768/500000 [00:01<18:44, 444.15it/s]
Iter 3, Reward: -0.1155:   0%|          | 768/500000 [00:01<18:44, 444.15it/s]
Iter 3, Reward: -0.1155:   0%|          | 1024/500000 [00:02<18:25, 451.19it/s]
Iter 4, Reward: -0.1702:   0%|          | 1024/500000 [00:02<18:25, 451.19it/s]
Iter 4, Reward: -0.1702:   0%|          | 1280/500000 [00:02<18:15, 455.21it/s]
Iter 30, Reward: -0.1780:   2%|▏         | 7680/500000 [00:16<17:51, 459.60it/s]
Iter 30, Reward: -0.1780:   2%|▏         | 7936/500000 [00:17<17:52, 458.84it/s]
Iter 31, Reward: -0.1799:   2%|▏         | 7936/500000 [00:17<17:52, 458.84it/s]
Iter 31, Reward: -0.1799:   2%|▏         | 8192/500000 [00:17<17:40, 463.61it/s]
Iter 32, Reward: -0.1955:   2%|▏         | 8192/500000 [00:17<17:40, 463.61it/s]
Iter 32, Reward: -0.1955:   2%|▏         | 8448/500000 [00:18<17:51, 458.57it/s]
Iter 33, Reward: -0.1799:   2%|▏         | 8448/500000 [00:18<17:51, 458.57it/s]
Iter 33, Reward: -0.1799:   2%|▏         | 8704/500000 [00:18<17:51, 458.67it/s]
Iter 34, Reward: -0.1877:   2%|▏         | 8704/500000 [00:18<17:51, 458.67it/s]
Iter 34, Reward: -0.1877:   2%|▏         | 8960/500000 [00:19<17:43, 461.54it/s]
Iter 35, Reward: -0.1702:   2%|▏         | 8960/500000 [00:19<17:43, 461.54it/s]
Iter 35, Reward: -0.1702:   2%|▏         | 9216/500000 [00:20<17:44, 461.08it/s]
Iter 36, Reward: -0.1799:   2%|▏         | 9216/500000 [00:20<17:44, 461.08it/s]
Iter 36, Reward: -0.1799:   2%|▏         | 9472/500000 [00:20<17:33, 465.65it/s]
Iter 37, Reward: -0.1780:   2%|▏         | 9472/500000 [00:20<17:33, 465.65it/s]
Iter 37, Reward: -0.1780:   2%|▏         | 9728/500000 [00:21<17:34, 465.07it/s]
Iter 38, Reward: -0.1916:   2%|▏         | 9728/500000 [00:21<17:34, 465.07it/s]
Iter 38, Reward: -0.1916:   2%|▏         | 9984/500000 [00:21<17:26, 468.06it/s]
Iter 39, Reward: -0.1760:   2%|▏         | 9984/500000 [00:21<17:26, 468.06it/s]
Iter 39, Reward: -0.1760:   2%|▏         | 10240/500000 [00:22<17:21, 470.30it/s]
Iter 40, Reward: -0.1350:   2%|▏         | 10240/500000 [00:22<17:21, 470.30it/s]
Iter 40, Reward: -0.1350:   2%|▏         | 10496/500000 [00:22<17:25, 468.37it/s]
Iter 41, Reward: -0.1057:   2%|▏         | 10496/500000 [00:22<17:25, 468.37it/s]
Iter 41, Reward: -0.1057:   2%|▏         | 10752/500000 [00:23<17:25, 467.83it/s]
Iter 42, Reward: -0.1096:   2%|▏         | 10752/500000 [00:23<17:25, 467.83it/s]
Iter 42, Reward: -0.1096:   2%|▏         | 11008/500000 [00:23<17:38, 461.81it/s]
Iter 43, Reward: -0.1311:   2%|▏         | 11008/500000 [00:23<17:38, 461.81it/s]
Iter 43, Reward: -0.1311:   2%|▏         | 11264/500000 [00:24<17:48, 457.38it/s]
Iter 44, Reward: -0.1272:   2%|▏         | 11264/500000 [00:24<17:48, 457.38it/s]
Iter 44, Reward: -0.1272:   2%|▏         | 11520/500000 [00:24<17:34, 463.20it/s]
Iter 45, Reward: -0.1194:   2%|▏         | 11520/500000 [00:24<17:34, 463.20it/s]
Iter 45, Reward: -0.1194:   2%|▏         | 11776/500000 [00:25<17:34, 462.79it/s]
Iter 46, Reward: -0.0510:   2%|▏         | 11776/500000 [00:25<17:34, 462.79it/s]
Iter 46, Reward: -0.0510:   2%|▏         | 12032/500000 [00:26<17:32, 463.63it/s]
Iter 47, Reward: -0.1057:   2%|▏         | 12032/500000 [00:26<17:32, 463.63it/s]
Iter 47, Reward: -0.1057:   2%|▏         | 12288/500000 [00:26<17:20, 468.77it/s]
Iter 48, Reward: -0.1057:   2%|▏         | 12288/500000 [00:26<17:20, 468.77it/s]
Iter 48, Reward: -0.1057:   3%|▎         | 12544/500000 [00:27<17:27, 465.37it/s]
Iter 49, Reward: -0.1975:   3%|▎         | 12544/500000 [00:27<17:27, 465.37it/s]
Iter 49, Reward: -0.1975:   3%|▎         | 12800/500000 [00:27<17:43, 458.29it/s]
Iter 50, Reward: -0.1897:   3%|▎         | 12800/500000 [00:27<17:43, 458.29it/s]
Iter 50, Reward: -0.1897:   3%|▎         | 13056/500000 [00:28<17:49, 455.16it/s]
Iter 51, Reward: -0.1916:   3%|▎         | 13056/500000 [00:28<17:49, 455.16it/s]
Iter 51, Reward: -0.1916:   3%|▎         | 13312/500000 [00:28<17:46, 456.54it/s]
Iter 52, Reward: -0.1936:   3%|▎         | 13312/500000 [00:28<17:46, 456.54it/s]
Iter 52, Reward: -0.1936:   3%|▎         | 13568/500000 [00:29<17:31, 462.64it/s]
Iter 53, Reward: -0.1799:   3%|▎         | 13568/500000 [00:29<17:31, 462.64it/s]
