run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.064000,7.710843,14.667371,36.586000,0.000000
2,0.064000,8.727273,15.270380,37.280000,0.000000
3,0.044000,5.739130,12.405835,34.764000,0.000000
4,0.054000,6.090226,13.191084,36.390000,0.000000
5,0.074000,8.987854,14.518020,38.492000,0.000000
6,0.052000,7.188940,14.428585,35.336000,0.000000
7,0.066000,9.900000,14.222920,35.166000,0.000000
8,0.064000,7.191011,13.684001,34.852000,0.000000
9,0.074000,7.844523,14.963537,38.084000,0.000000
10,0.066000,8.215768,13.951062,34.954000,0.000000
