run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,24.000000,100.000000,0.536625,6.666667,3.000000,15.000000
2,1.000000,0.680529,100.000000,0.444037,123.166667,172.000000,529.000000
3,1.000000,7.659574,100.000000,0.427767,12.333333,13.000000,47.000000
4,1.000000,7.659574,100.000000,0.422722,12.333333,13.000000,47.000000
5,1.000000,1.764706,100.000000,0.447408,50.166667,65.000000,204.000000
6,1.000000,10.000000,100.000000,0.426698,11.833333,10.000000,36.000000
7,1.000000,10.000000,100.000000,0.498137,10.333333,9.000000,36.000000
8,1.000000,30.000000,100.000000,0.000000,5.166667,0.000000,12.000000
9,1.000000,2.093023,100.000000,0.453193,43.833333,56.000000,172.000000
10,1.000000,3.272727,100.000000,0.465796,30.000000,33.000000,110.000000
