run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,0.474000,31.812081,53.975405,0.028198,332.824000,135.850000
2,0.456000,31.232877,53.876976,0.029619,333.638000,137.778000
3,0.476000,27.728155,54.580563,0.028183,364.664000,158.092000
4,0.464000,28.879668,53.851509,0.028438,349.952000,149.340000
5,0.480000,28.458498,54.072950,0.028156,359.894000,158.546000
6,0.436000,28.496732,55.266231,0.029398,344.714000,146.948000
7,0.464000,31.002227,55.597205,0.027948,328.354000,132.144000
8,0.434000,27.820513,54.274419,0.029443,351.370000,152.036000
9,0.388000,25.924276,52.865211,0.029228,341.316000,144.160000
10,0.470000,29.872881,55.509203,0.027745,342.132000,139.968000
