run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,1.014656,100.000000,0.453022,119.000000,292.000000,887.000000
2,1.000000,2.542373,100.000000,0.439985,42.200000,116.000000,354.000000
3,1.000000,1.306241,100.000000,0.438496,93.000000,227.000000,689.000000
4,1.000000,0.296638,100.000000,0.432592,416.266667,1008.000000,3034.000000
5,1.000000,2.702703,100.000000,0.438798,35.133333,109.000000,333.000000
6,1.000000,2.290076,100.000000,0.447324,54.800000,129.000000,393.000000
7,1.000000,1.098901,100.000000,0.437839,87.266667,269.000000,819.000000
8,1.000000,2.662722,100.000000,0.443046,41.933333,111.000000,338.000000
9,1.000000,5.113636,100.000000,0.462013,19.333333,56.000000,176.000000
10,1.000000,0.256483,100.000000,0.432685,478.866667,1164.000000,3509.000000
