run,success_rate,throughput,avg_agv_steps,avg_action_count
1,1.000000,25.846154,26.250000,5.392857
2,1.000000,26.250000,28.785714,6.928571
3,1.000000,17.684211,34.035714,10.535714
4,0.892857,15.000000,44.642857,18.035714
5,1.000000,28.000000,24.750000,4.714286
6,1.000000,21.538462,30.607143,7.714286
7,1.000000,21.265823,32.535714,9.678571
8,1.000000,23.333333,29.321429,8.750000
9,1.000000,17.500000,31.714286,7.928571
10,1.000000,18.461538,28.964286,6.607143
