run,success_rate,throughput,avg_agv_steps,avg_action_count
1,0.976190,24.600000,38.095238,14.047619
2,0.976190,24.600000,33.619048,9.809524
3,0.547619,13.800000,32.476190,13.690476
4,0.380952,9.600000,34.500000,17.476190
5,0.238095,6.000000,35.095238,18.571429
6,0.976190,24.600000,40.666667,14.761905
7,0.428571,10.800000,40.571429,20.500000
8,0.333333,8.400000,36.119048,17.880952
9,1.000000,25.454545,36.666667,13.785714
10,0.214286,5.400000,37.142857,19.166667
