run,success_rate,throughput,avg_agv_steps,avg_action_count
1,0.142857,2.400000,5.571429,0.535714
2,0.000000,0.000000,7.642857,2.714286
3,0.285714,4.800000,12.428571,2.571429
4,0.142857,2.400000,6.678571,0.678571
5,0.000000,0.000000,5.892857,0.892857
6,0.000000,0.000000,2.821429,0.285714
7,0.214286,3.600000,4.928571,0.285714
8,0.107143,1.800000,6.000000,0.428571
9,0.142857,2.400000,5.964286,0.571429
10,0.357143,6.000000,6.857143,0.535714
