run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.029333,6.839378,10.037854,28.136000,0.000000
2,0.034667,7.393365,11.326710,27.220000,0.000000
3,0.036000,6.952790,11.114489,25.005333,0.000000
4,0.029333,5.096525,10.405892,24.376000,0.000000
5,0.041333,9.117647,11.784202,26.834667,0.000000
6,0.034667,6.527197,10.908198,26.197333,0.000000
7,0.037333,6.339623,9.906498,25.393333,0.000000
8,0.033333,7.500000,10.020833,23.696000,0.000000
9,0.029333,6.082949,9.562200,22.982667,0.000000
10,0.028000,6.961326,10.176703,25.589333,0.000000
