run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.001000,0.869565,7.553733,8.908000,0.000000
2,0.004000,3.636364,8.751085,9.842000,0.000000
3,0.001000,0.638298,8.576144,9.811000,0.000000
4,0.005000,4.109589,8.892966,10.104000,0.000000
5,0.001000,0.810811,8.257397,9.578000,0.000000
6,0.002000,1.304348,8.014534,9.082000,0.000000
7,0.003000,1.395349,7.937207,9.654000,0.000000
8,0.005000,3.000000,8.063893,9.284000,0.000000
9,0.002000,1.153846,8.424847,10.021000,0.000000
10,0.002000,1.538462,8.128116,9.107000,0.000000
