run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,1.368421,100.000000,0.452436,74.076923,187.000000,570.000000
2,1.000000,4.785276,100.000000,0.461131,24.923077,52.000000,163.000000
3,1.000000,1.335616,100.000000,0.449816,77.230769,193.000000,584.000000
4,1.000000,1.601643,100.000000,0.455504,67.461538,158.000000,487.000000
5,1.000000,1.553785,100.000000,0.450846,71.769231,165.000000,502.000000
6,1.000000,3.333333,100.000000,0.474673,35.846154,73.000000,234.000000
7,0.615385,1.589404,84.906760,0.468686,33.923077,93.000000,302.000000
8,1.000000,2.608696,100.000000,0.453570,40.615385,97.000000,299.000000
9,1.000000,2.385321,100.000000,0.466459,47.615385,107.000000,327.000000
10,1.000000,2.178771,100.000000,0.478024,48.384615,116.000000,358.000000
