run,success_rate,throughput,avg_agv_steps,avg_action_count
1,1.000000,21.000000,24.214286,2.857143
2,1.000000,24.705882,21.357143,1.142857
3,1.000000,22.105263,20.857143,2.642857
4,1.000000,18.666667,23.642857,3.000000
5,1.000000,22.702703,22.000000,2.714286
6,1.000000,18.666667,22.857143,2.642857
7,1.000000,23.333333,24.285714,2.357143
8,1.000000,18.666667,27.428571,5.000000
9,1.000000,17.142857,23.142857,2.500000
10,1.000000,17.500000,21.285714,2.785714
