run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.100000,4.137931,25.839072,3.200000,0.000000
2,0.100000,4.137931,31.708944,4.900000,0.000000
3,0.150000,5.142857,41.999026,6.450000,0.000000
4,0.150000,6.206897,37.088336,4.050000,0.000000
5,0.100000,4.137931,30.592926,5.100000,0.000000
6,0.100000,4.000000,38.664963,6.600000,0.000000
7,0.450000,17.419355,62.943265,9.950000,0.000000
8,0.050000,2.068966,29.090065,3.950000,0.000000
9,0.100000,3.750000,27.035437,3.650000,0.000000
10,0.250000,10.000000,46.727800,6.300000,0.000000
