run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,0.000000,0.000000,21.416401,0.280327,3.000000,0.000000
2,0.050000,3.529412,26.264972,0.256896,3.975000,0.000000
3,0.025000,1.764706,22.361988,0.275593,3.400000,0.000000
4,0.050000,3.529412,24.526841,0.252230,3.450000,0.000000
5,0.125000,8.823529,31.059592,0.287072,4.000000,0.000000
6,0.175000,11.666667,32.736173,0.280622,5.650000,0.000000
7,0.000000,0.000000,18.503498,0.282316,2.275000,0.000000
8,0.050000,3.529412,22.842975,0.284644,3.025000,0.000000
9,0.100000,7.058824,24.762329,0.280385,3.125000,0.000000
10,0.025000,1.764706,23.722120,0.269511,3.275000,0.000000
