run,success_rate,throughput,avg_agv_steps,avg_action_count
1,0.357143,3.000000,8.500000,0.000000
2,0.428571,3.600000,10.357143,0.714286
3,0.285714,2.400000,11.142857,0.428571
4,0.642857,5.400000,16.785714,0.500000
5,0.142857,1.200000,8.642857,0.000000
6,0.142857,1.200000,6.785714,0.285714
7,0.285714,2.400000,10.357143,0.428571
8,0.357143,3.000000,11.642857,0.285714
9,0.428571,3.600000,8.500000,0.857143
10,0.214286,1.800000,7.714286,0.857143
