run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.600000,21.176471,61.921899,9.750000,0.000000
2,0.200000,7.741935,37.879645,6.750000,0.000000
3,0.200000,7.058824,35.903838,4.900000,0.000000
4,0.200000,7.500000,36.665298,8.200000,0.000000
5,0.250000,9.677419,45.798359,7.400000,0.000000
6,0.200000,7.741935,38.213973,5.400000,0.000000
7,0.300000,12.413793,48.537738,8.150000,0.000000
8,0.050000,2.068966,25.909904,4.500000,0.000000
9,0.100000,4.137931,31.420156,5.150000,0.000000
10,0.000000,0.000000,21.610052,4.350000,0.000000
