run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,1.000000,69.767442,100.000000,0.375780,175.562000,12.546000
2,1.000000,83.565460,100.000000,0.393958,168.782000,11.112000
3,1.000000,56.925996,100.000000,0.415265,177.312000,13.962000
4,1.000000,72.815534,100.000000,0.401282,177.144000,13.102000
5,1.000000,75.000000,100.000000,0.389849,170.974000,13.128000
6,1.000000,75.187970,100.000000,0.371893,178.938000,14.002000
7,1.000000,70.588235,100.000000,0.378345,179.682000,15.048000
8,1.000000,64.102564,100.000000,0.380136,184.444000,15.362000
9,1.000000,79.155673,100.000000,0.376678,169.968000,12.790000
10,1.000000,78.740157,100.000000,0.377168,172.376000,12.340000
