run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,0.261000,26.587436,46.200979,0.060907,487.803000,255.467000
2,0.224000,15.737705,45.411745,0.062493,707.068000,411.410000
3,0.246000,29.285714,46.682170,0.062518,427.416000,213.828000
4,0.222000,24.306569,47.184574,0.064560,470.512000,241.291000
5,0.245000,28.378378,44.375765,0.064368,444.596000,234.633000
6,0.185000,21.428571,45.606161,0.065870,457.824000,242.314000
7,0.185000,0.370000,43.533641,0.067163,24482.960000,17653.146000
8,0.283000,33.228963,44.691243,0.061296,421.363000,207.216000
9,0.174000,20.921844,42.655340,0.064897,444.473000,225.739000
10,0.159000,18.524272,46.733688,0.065718,461.402000,236.000000
