run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,1.000000,17.647059,100.000000,36.700000,12.700000
2,1.000000,19.047619,100.000000,44.225000,17.375000
3,1.000000,18.897638,100.000000,39.325000,12.950000
4,1.000000,21.818182,100.000000,33.350000,10.175000
5,1.000000,11.940299,100.000000,44.400000,16.850000
6,1.000000,19.672131,100.000000,38.950000,13.825000
7,1.000000,10.212766,100.000000,64.075000,32.775000
8,1.000000,7.920792,100.000000,57.575000,28.550000
9,1.000000,18.320611,100.000000,37.850000,13.100000
10,1.000000,22.222222,100.000000,33.075000,11.800000
