run,success_rate,throughput,avg_agv_steps,avg_action_count
1,0.071429,1.200000,4.464286,0.892857
2,0.035714,0.600000,6.035714,1.142857
3,0.071429,1.200000,5.107143,0.285714
4,0.107143,1.800000,6.000000,0.892857
5,0.000000,0.000000,4.214286,0.571429
6,0.178571,3.000000,6.428571,0.464286
7,0.142857,2.400000,5.642857,0.785714
8,0.035714,0.600000,4.642857,0.392857
9,0.285714,4.800000,21.107143,10.857143
10,0.035714,0.600000,5.000000,0.464286
