run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,1.000000,13.846154,100.000000,0.388626,37.466667,10.933333
2,1.000000,13.533835,100.000000,0.402709,37.900000,12.733333
3,1.000000,18.000000,100.000000,0.389974,32.933333,9.600000
4,1.000000,19.148936,100.000000,0.384835,37.000000,13.066667
5,1.000000,18.556701,100.000000,0.394369,42.100000,13.300000
6,1.000000,21.951220,100.000000,0.400115,29.866667,8.600000
7,1.000000,18.750000,100.000000,0.400326,32.466667,8.466667
8,1.000000,20.930233,100.000000,0.421168,28.100000,7.600000
9,1.000000,18.947368,100.000000,0.396543,32.033333,8.833333
10,1.000000,13.636364,100.000000,0.389184,45.800000,16.366667
