run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.100000,6.000000,26.223028,3.400000,0.000000
2,0.066667,4.137931,30.610375,4.666667,0.000000
3,0.100000,6.206897,30.367302,4.233333,0.000000
4,0.033333,2.068966,19.270481,2.133333,0.000000
5,0.100000,6.206897,28.242041,3.366667,0.000000
6,0.166667,10.344828,37.070382,4.100000,0.000000
7,0.133333,8.275862,29.581114,2.900000,0.000000
8,0.100000,6.206897,32.661677,3.933333,0.000000
9,0.100000,6.000000,31.242993,4.666667,0.000000
10,0.100000,6.206897,30.115528,3.300000,0.000000
