run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.005000,3.333333,7.365654,11.265000,0.000000
2,0.003000,1.363636,7.168772,11.879000,0.000000
3,0.004000,2.162162,7.654843,12.834000,0.000000
4,0.006000,3.214286,8.092905,11.561000,0.000000
5,0.003000,1.153846,7.947494,12.203000,0.000000
6,0.004000,2.553191,7.352287,11.174000,0.000000
7,0.002000,1.395349,7.002938,10.787000,0.000000
8,0.004000,2.500000,7.755257,11.336000,0.000000
9,0.001000,0.392157,7.126212,11.930000,0.000000
10,0.006000,2.535211,8.292989,11.768000,0.000000
