run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,1.959184,100.000000,0.435047,46.125000,80.000000,245.000000
2,1.000000,1.951220,100.000000,0.458956,44.250000,78.000000,246.000000
3,1.000000,3.000000,100.000000,0.474332,35.875000,51.000000,160.000000
4,1.000000,2.318841,100.000000,0.464909,40.375000,67.000000,207.000000
5,1.000000,8.135593,100.000000,0.436257,14.125000,15.000000,59.000000
6,1.000000,2.637363,100.000000,0.450239,39.375000,59.000000,182.000000
7,1.000000,3.555556,100.000000,0.478686,28.625000,42.000000,135.000000
8,1.000000,2.436548,100.000000,0.454563,37.125000,64.000000,197.000000
9,1.000000,6.486486,100.000000,0.462724,15.625000,22.000000,74.000000
10,1.000000,3.428571,100.000000,0.455764,25.125000,45.000000,140.000000
