run,success_rate,throughput,avg_agv_steps,avg_action_count
1,0.214286,1.800000,10.714286,3.428571
2,0.642857,5.400000,17.000000,0.000000
3,0.071429,0.600000,6.500000,2.214286
4,0.142857,1.200000,6.714286,0.500000
5,0.142857,1.200000,9.071429,1.285714
6,0.500000,4.200000,13.142857,0.000000
7,0.428571,3.600000,29.785714,17.500000
8,0.071429,0.600000,8.428571,0.357143
9,0.285714,2.400000,13.500000,0.642857
10,0.000000,0.000000,5.928571,0.714286
