run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.288000,22.857143,49.548129,460.912000,224.693333
2,0.329333,28.832685,49.090808,410.014667,200.000000
3,0.266667,22.346369,50.537326,445.169333,219.872000
4,0.296000,25.275142,49.213502,433.868000,209.706667
5,0.361333,31.572816,52.687365,406.994667,189.644000
6,0.318667,24.346350,49.395907,465.710667,229.153333
7,0.345333,29.487666,49.011889,416.945333,205.656000
8,0.330667,32.775330,50.701639,366.493333,172.885333
9,0.318667,28.007812,48.167495,406.390667,197.938667
10,0.322667,29.815195,50.437327,394.564000,194.144000
