run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,2.089552,100.000000,0.454426,35.714286,65.000000,201.000000
2,1.000000,19.090909,100.000000,0.438979,9.714286,3.000000,22.000000
3,1.000000,2.857143,100.000000,0.462729,28.714286,46.000000,147.000000
4,1.000000,1.640625,100.000000,0.450259,50.285714,81.000000,256.000000
5,1.000000,4.285714,100.000000,0.455784,20.714286,31.000000,98.000000
6,1.000000,1.573034,100.000000,0.451375,47.142857,85.000000,267.000000
7,1.000000,5.833333,100.000000,0.469702,15.285714,21.000000,72.000000
8,1.000000,3.043478,100.000000,0.452256,26.428571,44.000000,138.000000
9,1.000000,3.360000,100.000000,0.462454,28.714286,38.000000,125.000000
10,1.000000,10.500000,100.000000,0.441403,12.571429,10.000000,40.000000
