run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,0.800000,14.769231,86.607241,0.007466,29.350000,11.050000
2,0.500000,9.677419,70.473790,0.006390,40.850000,18.400000
3,1.000000,21.428571,90.013736,0.007673,27.650000,5.300000
4,0.550000,9.850746,79.111086,0.006697,41.650000,19.850000
5,0.900000,18.000000,80.529079,0.007069,30.600000,7.450000
6,0.500000,10.000000,75.442068,0.006692,42.200000,17.200000
7,0.700000,15.555556,74.902489,0.007269,32.050000,10.750000
8,0.550000,11.785714,76.943125,0.006501,39.550000,18.550000
9,0.900000,18.620690,90.353554,0.009902,27.700000,6.600000
10,0.550000,12.452830,67.838082,0.006223,37.700000,13.700000
