run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.009333,2.545455,9.336763,15.004000,0.000000
2,0.017333,6.240000,9.520428,15.396000,0.000000
3,0.009333,2.745098,9.689745,15.881333,0.000000
4,0.013333,4.225352,9.487775,14.337333,0.000000
5,0.009333,4.158416,8.420900,13.432000,0.000000
6,0.004000,1.463415,9.312572,15.605333,0.000000
7,0.009333,3.088235,8.493521,13.949333,0.000000
8,0.004000,1.417323,8.453154,14.210667,0.000000
9,0.014667,5.593220,9.663721,14.801333,0.000000
10,0.008000,3.333333,9.041063,14.741333,0.000000
