run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,1.118012,100.000000,0.432850,97.166667,211.000000,644.000000
2,1.000000,0.780911,100.000000,0.434941,111.583333,304.000000,922.000000
3,1.000000,1.739130,100.000000,0.439839,67.583333,134.000000,414.000000
4,1.000000,1.914894,100.000000,0.435304,47.666667,122.000000,376.000000
5,1.000000,5.538462,100.000000,0.477191,20.083333,41.000000,130.000000
6,1.000000,1.600000,100.000000,0.435347,59.500000,148.000000,450.000000
7,1.000000,3.636364,100.000000,0.447396,30.333333,62.000000,198.000000
8,1.000000,2.857143,100.000000,0.450719,27.750000,82.000000,252.000000
9,1.000000,1.247834,100.000000,0.438751,81.083333,190.000000,577.000000
10,1.000000,8.674699,100.000000,0.460744,19.000000,23.000000,83.000000
