run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,0.325000,13.000000,68.231530,0.007105,47.625000,23.975000
2,0.350000,10.909091,65.011357,0.007667,61.300000,36.025000
3,0.200000,8.135593,62.283524,0.007478,50.800000,28.225000
4,0.350000,14.736842,62.119878,0.007464,43.800000,23.975000
5,0.425000,18.214286,74.044360,0.007281,39.025000,19.575000
6,0.350000,14.000000,69.062735,0.007248,46.550000,21.900000
7,0.575000,18.400000,66.310262,0.006654,47.800000,22.650000
8,0.225000,8.852459,53.552095,0.007513,53.425000,29.600000
9,0.425000,13.600000,66.785650,0.007468,53.100000,28.475000
10,0.375000,16.666667,64.773379,0.007209,41.325000,23.175000
