run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.040000,6.417112,22.245021,28.584000,0.000000
2,0.038000,5.968586,21.027003,26.112000,0.000000
3,0.038000,4.830508,20.567936,25.888000,0.000000
4,0.030000,3.529412,20.476717,24.338000,0.000000
5,0.050000,5.976096,22.316326,28.054000,0.000000
6,0.038000,5.533981,21.083351,24.064000,0.000000
7,0.032000,5.052632,20.597650,25.118000,0.000000
8,0.044000,6.700508,22.171386,27.308000,0.000000
9,0.040000,6.593407,19.609062,23.864000,0.000000
10,0.028000,4.912281,21.647018,27.208000,0.000000
