run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,2.192691,100.000000,0.433456,46.818182,98.000000,301.000000
2,1.000000,3.157895,100.000000,0.449922,36.363636,66.000000,209.000000
3,1.000000,3.952096,100.000000,0.468428,23.727273,54.000000,167.000000
4,1.000000,1.242938,100.000000,0.436036,75.454545,175.000000,531.000000
5,1.000000,1.732283,100.000000,0.440258,51.636364,124.000000,381.000000
6,1.000000,1.036107,100.000000,0.440940,96.454545,210.000000,637.000000
7,1.000000,1.036107,100.000000,0.447620,90.545455,208.000000,637.000000
8,1.000000,1.517241,100.000000,0.442268,72.181818,143.000000,435.000000
9,1.000000,0.925666,100.000000,0.440515,104.363636,235.000000,713.000000
10,1.000000,1.279070,100.000000,0.444964,70.454545,169.000000,516.000000
