run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.964000,4.338000,99.206740,290.176000,88.656000
2,1.000000,76.013514,100.000000,195.132000,26.589333
3,0.936000,4.212000,98.242107,415.292000,177.297333
4,0.974667,4.386000,99.523857,281.530667,82.146667
5,0.970667,4.368000,99.288189,342.813333,126.377333
6,0.930667,4.188000,98.598178,270.844000,78.010667
7,1.000000,19.238991,100.000000,206.925333,34.482667
8,1.000000,45.090180,100.000000,208.657333,32.508000
9,1.000000,24.416712,100.000000,200.001333,32.614667
10,1.000000,17.347726,100.000000,205.698667,34.806667
