run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.028000,7.875000,16.760580,18.886667,0.000000
2,0.028000,8.750000,16.789090,19.573333,0.000000
3,0.016000,5.070423,15.050231,18.676000,0.000000
4,0.022667,6.415094,15.578009,18.374667,0.000000
5,0.020000,4.522613,15.204037,17.741333,0.000000
6,0.009333,2.068966,14.568653,17.286667,0.000000
7,0.024000,5.567010,15.294485,18.344000,0.000000
8,0.018667,5.217391,15.607372,18.040000,0.000000
9,0.014667,5.116279,14.228352,16.332000,0.000000
10,0.026667,6.122449,15.464524,17.394667,0.000000
