run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,0.625000,3.750000,80.613573,0.378767,498.861000,261.109000
2,0.293000,1.758000,56.541678,0.380567,270.689000,134.687000
3,0.603000,4.416504,79.741244,0.379489,377.248000,181.855000
4,0.514000,3.084000,78.686647,0.383679,408.782000,205.442000
5,0.182000,1.092000,51.430237,0.368300,341.659000,183.935000
6,0.603000,3.618000,75.229325,0.375247,395.877000,200.002000
7,0.225000,1.350000,52.736883,0.368159,353.248000,185.377000
8,0.417000,2.502000,65.206648,0.374247,372.968000,188.106000
9,0.540000,3.240000,74.676877,0.376398,415.959000,222.055000
10,0.266000,1.596000,58.098893,0.371805,328.470000,171.767000
