run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,3.255814,100.000000,0.448574,30.357143,83.000000,258.000000
2,1.000000,0.831683,100.000000,0.450902,126.642857,334.000000,1010.000000
3,1.000000,1.205165,100.000000,0.452078,76.857143,229.000000,697.000000
4,1.000000,0.632530,100.000000,0.442613,155.571429,439.000000,1328.000000
5,1.000000,2.989324,100.000000,0.459070,38.571429,91.000000,281.000000
6,1.000000,1.739130,100.000000,0.448845,53.928571,158.000000,483.000000
7,1.000000,2.245989,100.000000,0.458427,53.142857,123.000000,374.000000
8,1.000000,0.708861,100.000000,0.448674,155.142857,393.000000,1185.000000
9,1.000000,1.318681,100.000000,0.445987,77.214286,210.000000,637.000000
10,1.000000,2.264151,100.000000,0.459340,45.000000,122.000000,371.000000
