run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,0.712000,54.910026,47.042923,0.023897,235.952000,59.042000
2,0.782000,49.598309,52.016151,0.020857,235.316000,61.214000
3,0.742000,60.489130,50.121046,0.023437,214.320000,51.096000
4,0.732000,43.313609,51.439954,0.021456,259.728000,76.886000
5,0.724000,48.699552,48.827363,0.022888,243.922000,70.082000
6,0.704000,60.000000,49.551729,0.024830,220.452000,55.638000
7,0.712000,52.352941,50.980698,0.023318,234.688000,65.138000
8,0.694000,52.575758,46.785784,0.024224,242.444000,65.290000
9,0.740000,61.325967,49.461323,0.023332,214.934000,48.074000
10,0.670000,51.275510,48.315346,0.024846,243.488000,70.706000
