run,success_rate,throughput,avg_agv_steps,avg_action_count
1,0.095238,2.400000,6.809524,1.452381
2,0.071429,1.800000,5.023810,1.833333
3,0.142857,3.600000,10.023810,3.238095
4,0.119048,3.000000,3.857143,0.642857
5,0.119048,3.000000,4.047619,0.166667
6,0.071429,1.800000,5.071429,0.452381
7,0.142857,3.600000,3.904762,0.738095
8,0.071429,1.800000,4.571429,1.404762
9,0.000000,0.000000,2.619048,0.523810
10,0.047619,1.200000,4.452381,1.095238
