run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.022000,4.400000,11.548023,18.818000,0.000000
2,0.012000,2.236025,11.852160,21.696000,0.000000
3,0.018000,3.673469,12.610076,22.154000,0.000000
4,0.014000,3.181818,11.606878,19.182000,0.000000
5,0.014000,1.953488,11.212903,18.384000,0.000000
6,0.028000,5.060241,13.426775,23.180000,0.000000
7,0.024000,3.977901,12.103305,21.412000,0.000000
8,0.024000,5.034965,12.512347,21.412000,0.000000
9,0.008000,1.568627,10.949930,22.186000,0.000000
10,0.028000,5.753425,12.910431,21.742000,0.000000
