run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,10.434783,100.000000,0.530292,8.000000,5.000000,23.000000
2,1.000000,11.428571,100.000000,0.432590,7.750000,5.000000,21.000000
3,1.000000,12.631579,100.000000,0.425549,9.500000,3.000000,19.000000
4,1.000000,10.434783,100.000000,0.432825,11.000000,4.000000,23.000000
5,1.000000,7.741935,100.000000,0.417562,12.250000,7.000000,31.000000
6,1.000000,24.000000,100.000000,0.000000,6.000000,0.000000,10.000000
7,1.000000,3.809524,100.000000,0.497030,20.000000,19.000000,63.000000
8,1.000000,8.275862,100.000000,0.438972,10.500000,7.000000,29.000000
9,1.000000,20.000000,100.000000,0.000000,8.750000,0.000000,12.000000
10,1.000000,12.000000,100.000000,0.442677,9.250000,4.000000,20.000000
