run,success_rate,throughput,avg_agv_steps,avg_action_count
1,0.035714,0.600000,6.750000,2.142857
2,0.178571,3.000000,7.178571,0.928571
3,0.071429,1.200000,10.750000,3.464286
4,0.035714,0.600000,6.464286,1.964286
5,0.035714,0.600000,13.892857,9.642857
6,0.214286,3.600000,10.535714,2.214286
7,0.071429,1.200000,4.607143,0.714286
8,0.142857,2.400000,12.392857,3.928571
9,0.107143,1.800000,5.714286,0.857143
10,0.107143,1.800000,3.714286,0.785714
