run,success_rate,throughput,avg_agv_steps,avg_action_count
1,0.023810,0.600000,3.380952,0.428571
2,0.047619,1.200000,4.190476,0.523810
3,0.047619,1.200000,6.404762,1.476190
4,0.047619,1.200000,4.690476,0.714286
5,0.047619,1.200000,7.976190,2.547619
6,0.000000,0.000000,3.309524,0.595238
7,0.071429,1.800000,4.428571,0.214286
8,0.095238,2.400000,6.404762,1.380952
9,0.023810,0.600000,4.333333,1.380952
10,0.023810,0.600000,2.547619,0.261905
