run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,6.250000,100.000000,0.533758,15.200000,13.000000,48.000000
2,1.000000,2.777778,100.000000,0.466820,30.800000,33.000000,108.000000
3,1.000000,27.272727,100.000000,0.000000,5.600000,0.000000,11.000000
4,1.000000,6.000000,100.000000,0.431845,12.000000,13.000000,50.000000
5,1.000000,21.428571,100.000000,0.000000,9.000000,0.000000,14.000000
6,1.000000,13.636364,100.000000,0.431699,7.400000,5.000000,22.000000
7,1.000000,18.750000,100.000000,0.435723,5.800000,3.000000,16.000000
8,1.000000,5.263158,100.000000,0.490886,12.000000,16.000000,57.000000
9,1.000000,6.382979,100.000000,0.432863,17.000000,12.000000,47.000000
10,1.000000,12.500000,100.000000,0.435518,9.400000,4.000000,24.000000
