run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.013000,4.062500,8.241953,19.354000,0.000000
2,0.019000,6.229508,8.956527,20.597000,0.000000
3,0.016000,5.161290,8.668326,19.590000,0.000000
4,0.016000,4.120172,9.196718,22.449000,0.000000
5,0.023000,7.040816,9.368932,21.330000,0.000000
6,0.018000,4.390244,9.083644,19.999000,0.000000
7,0.025000,6.437768,9.144672,21.984000,0.000000
8,0.024000,6.923077,8.850556,20.459000,0.000000
9,0.014000,5.250000,8.880151,19.882000,0.000000
10,0.028000,10.243902,9.423050,19.959000,0.000000
