run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,0.839000,5.034000,96.354652,0.400565,329.382000,120.459000
2,0.843000,5.058000,95.435701,0.403626,280.814000,82.109000
3,0.926000,8.834473,98.056781,0.402706,325.314000,107.047000
4,0.921000,34.132180,98.289409,0.372031,236.426000,55.548000
5,0.952000,5.712000,98.720516,0.424541,288.118000,92.095000
6,0.893000,30.202931,97.141557,0.372047,225.347000,51.138000
7,0.860000,29.452055,96.607232,0.373205,216.050000,43.956000
8,0.894000,5.364000,97.152486,0.413156,321.213000,102.000000
9,0.914000,5.484000,97.705861,0.416688,300.485000,95.746000
10,1.000000,39.603960,100.000000,0.369685,216.522000,41.098000
