run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,7.297297,100.000000,0.444143,15.888889,22.000000,74.000000
2,1.000000,4.695652,100.000000,0.468615,18.888889,36.000000,115.000000
3,1.000000,3.750000,100.000000,0.454632,28.666667,46.000000,144.000000
4,1.000000,20.000000,100.000000,0.423523,6.444444,6.000000,27.000000
5,1.000000,1.276596,100.000000,0.437769,70.111111,137.000000,423.000000
6,1.000000,1.862069,100.000000,0.453716,54.000000,94.000000,290.000000
7,1.000000,6.585366,100.000000,0.450925,20.222222,24.000000,82.000000
8,1.000000,12.558140,100.000000,0.546222,8.333333,12.000000,43.000000
9,1.000000,1.171367,100.000000,0.434225,70.666667,151.000000,461.000000
10,1.000000,2.511628,100.000000,0.466498,38.777778,69.000000,215.000000
