run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.004000,1.804511,11.311448,12.652000,0.000000
2,0.017000,7.555556,12.168933,13.383000,0.000000
3,0.017000,9.272727,12.553072,12.943000,0.000000
4,0.008000,3.636364,11.380550,13.156000,0.000000
5,0.018000,8.000000,11.986494,14.076000,0.000000
6,0.009000,4.462810,11.622637,13.185000,0.000000
7,0.010000,3.550296,12.004834,13.810000,0.000000
8,0.008000,4.210526,11.695846,14.227000,0.000000
9,0.009000,5.192308,11.171591,13.490000,0.000000
10,0.011000,4.000000,12.249365,14.209000,0.000000
