run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,rl_action_count,completed_time
1,1.000000,20.000000,100.000000,0.000000,5.000000,0.000000,9.000000
2,1.000000,13.846154,100.000000,0.000000,8.333333,1.000000,13.000000
3,1.000000,13.846154,100.000000,0.000000,9.333333,0.000000,13.000000
4,1.000000,2.571429,100.000000,0.470342,25.000000,20.000000,70.000000
5,1.000000,16.363636,100.000000,0.000000,6.666667,0.000000,11.000000
6,1.000000,16.363636,100.000000,0.000000,7.333333,0.000000,11.000000
7,1.000000,13.846154,100.000000,0.000000,10.000000,0.000000,13.000000
8,1.000000,18.000000,100.000000,0.000000,6.666667,0.000000,10.000000
9,1.000000,16.363636,100.000000,0.000000,8.333333,0.000000,11.000000
10,1.000000,3.600000,100.000000,0.527125,19.333333,13.000000,50.000000
