run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.025000,2.068966,15.667436,1.975000,0.000000
2,0.050000,3.333333,27.387384,3.625000,0.000000
3,0.025000,2.068966,19.718847,2.325000,0.000000
4,0.050000,4.137931,21.175826,2.900000,0.000000
5,0.025000,2.068966,20.724996,2.625000,0.000000
6,0.000000,0.000000,21.235347,2.825000,0.000000
7,0.100000,6.857143,27.913220,3.350000,0.000000
8,0.025000,2.068966,23.194862,3.050000,0.000000
9,0.050000,4.137931,24.484893,2.975000,0.000000
10,0.025000,2.068966,21.259071,3.250000,0.000000
