run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.000000,0.000000,14.933616,2.025000,0.000000
2,0.025000,2.000000,21.503594,2.825000,0.000000
3,0.075000,6.206897,23.659568,2.825000,0.000000
4,0.025000,2.068966,20.392430,2.425000,0.000000
5,0.075000,6.206897,25.717965,3.200000,0.000000
6,0.075000,6.206897,26.306810,3.175000,0.000000
7,0.100000,8.275862,26.213040,2.450000,0.000000
8,0.000000,0.000000,19.539411,2.975000,0.000000
9,0.050000,4.137931,24.782267,3.150000,0.000000
10,0.050000,3.636364,24.596987,3.375000,0.000000
