run,success_rate,throughput,avg_integrity,avg_agv_steps,avg_action_count
1,0.005333,1.751825,10.181120,12.113333,0.000000
2,0.006667,2.678571,9.728769,11.860000,0.000000
3,0.004000,1.747573,10.116461,12.772000,0.000000
4,0.013333,5.084746,12.066953,14.433333,0.000000
5,0.008000,2.627737,11.205160,13.458667,0.000000
6,0.012000,5.346535,11.270187,13.077333,0.000000
7,0.004000,1.894737,9.951558,11.813333,0.000000
8,0.004000,1.651376,10.825776,12.558667,0.000000
9,0.006667,2.205882,11.150895,13.685333,0.000000
10,0.008000,3.157895,10.493765,12.985333,0.000000
