run,success_rate,throughput,avg_integrity,avg_inference_time,avg_agv_steps,avg_action_count
1,0.489333,56.030534,47.541994,0.039798,278.561333,96.940000
2,0.540000,61.518987,46.921029,0.038643,274.342667,88.085333
3,0.589333,65.643564,46.340674,0.037252,268.634667,84.178667
4,0.596000,66.222222,47.973008,0.036134,259.388000,84.809333
5,0.565333,65.736434,46.129961,0.037893,261.453333,80.949333
6,0.576000,68.031496,46.589005,0.037359,254.637333,80.281333
7,0.584000,67.906977,50.009796,0.037488,256.568000,82.738667
8,0.558667,56.749436,47.965770,0.037054,288.602667,101.801333
9,0.552000,59.142857,48.089662,0.037649,279.149333,96.536000
10,0.584000,68.616188,47.501645,0.037017,252.057333,79.312000
